county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_59,865_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Washington County, IN",IN,11229,0.5353,0.699,4202
"Todd County, MN",MN,10209,0.5485,0.7504,4202
"Curry County, OR",OR,11159,0.514,0.7321,4199
"Marion County, TN",TN,11869,0.5138,0.6875,4193
"Rhea County, TN",TN,13475,0.4521,0.6875,4188
"Coffee County, GA",GA,15349,0.4256,0.6402,4182
"Okmulgee County, OK",OK,14246,0.4467,0.657,4181
"Churchill County, NV",NV,9516,0.6448,0.6809,4178
"Alpena County, MI",MI,13019,0.4515,0.7106,4177
"Cherokee County, NC",NC,13241,0.4521,0.6941,4155
"Meeker County, MN",MN,9347,0.5922,0.7504,4154
"Wasco County, OR",OR,10563,0.5346,0.7321,4134
"Carroll County, VA",VA,12576,0.4562,0.7172,4115
"Graves County, KY",KY,14139,0.4222,0.6892,4114
"Lincoln County, WY",WY,8324,0.686,0.7189,4105
"Union County, GA",GA,11490,0.5569,0.6402,4097
"Fillmore County, MN",MN,8723,0.624,0.7504,4085
"Weakley County, TN",TN,13384,0.4427,0.6875,4074
"Kewaunee County, WI",WI,8357,0.655,0.7438,4071
"Ashe County, NC",NC,12201,0.4777,0.6941,4046
"Anderson County, KY",KY,9653,0.6074,0.6892,4041
"Gunnison County, CO",CO,8494,0.65,0.7305,4033
"Asotin County, WA",WA,9490,0.5741,0.7388,4025
"Greene County, VA",VA,8032,0.6978,0.7172,4020
"Franklin County, IN",IN,9211,0.6242,0.699,4019
"Jefferson County, OR",OR,8814,0.6223,0.7321,4015
"Manistee County, MI",MI,10561,0.5346,0.7106,4012
"Payette County, ID",ID,9692,0.5659,0.7305,4007
"White County, IN",IN,10254,0.5591,0.699,4007
"Fayette County, TX",TX,10403,0.5993,0.6402,3991
"Greenbrier County, WV",WV,14788,0.3963,0.6809,3991
"DeSoto County, FL",FL,12824,0.4505,0.6892,3981
"Claiborne County, TN",TN,13724,0.4213,0.6875,3975
"Dawson County, NE",NE,9145,0.5953,0.7288,3967
"Salem city, VA",VA,10256,0.5387,0.7172,3963
"Kleberg County, TX",TX,11853,0.5216,0.6402,3958
"Washington County, IA",IA,8972,0.6034,0.7288,3945
"Palo Pinto County, TX",TX,11234,0.5481,0.6402,3942
"Ray County, MO",MO,9116,0.6152,0.7024,3939
"Hubbard County, MN",MN,8964,0.5848,0.7504,3934
"Chester County, SC",SC,13159,0.438,0.6809,3925
"Baker County, FL",FL,9165,0.6211,0.6892,3923
"Gallia County, OH",OH,11614,0.4796,0.704,3921
"Peach County, GA",GA,10598,0.5774,0.6402,3917
"Houston County, MN",MN,8134,0.6417,0.7504,3917
"Dickinson County, IA",IA,8845,0.6063,0.7288,3908
"Stoddard County, MO",MO,11585,0.4802,0.7024,3907
"Jim Wells County, TX",TX,13279,0.4596,0.6402,3907
"White County, GA",GA,10729,0.5679,0.6402,3901
"Jackson County, WV",WV,11515,0.4969,0.6809,3896
"Glenn County, CA",CA,9810,0.5509,0.7172,3876
"Floyd County, KY",KY,14700,0.3826,0.6892,3876
"Oceana County, MI",MI,10419,0.5221,0.7106,3866
"Sanpete County, UT",UT,8888,0.5969,0.7288,3866
"Yates County, NY",NY,9490,0.5703,0.7139,3864
"McDonough County, IL",IL,11856,0.4548,0.7156,3859
"Muhlenberg County, KY",KY,12123,0.4619,0.6892,3859
"Obion County, TN",TN,12527,0.4466,0.6875,3846
"Roscommon County, MI",MI,11579,0.4672,0.7106,3844
"Logan County, KY",KY,11005,0.5051,0.6892,3831
"Starr County, TX",TX,19157,0.3121,0.6402,3828
"Smyth County, VA",VA,12659,0.4206,0.7172,3819
"Tate County, MS",MS,11018,0.5764,0.6006,3814
"Llano County, TX",TX,10765,0.5529,0.6402,3811
"Hot Spring County, AR",AR,12310,0.471,0.657,3809
"Grimes County, TX",TX,10255,0.5798,0.6402,3807
"Carroll County, IA",IA,8801,0.5911,0.7288,3791
"Gage County, NE",NE,9327,0.5577,0.7288,3791
"Henry County, TN",TN,13452,0.409,0.6875,3783
"Shelby County, IL",IL,8918,0.592,0.7156,3778
"Madison County, GA",GA,11242,0.5247,0.6402,3776
"Buchanan County, IA",IA,8252,0.6278,0.7288,3775
"Winneshiek County, IA",IA,8139,0.6341,0.7288,3761
"Rockbridge County, VA",VA,9552,0.5479,0.7172,3753
"Alcorn County, MS",MS,14456,0.4306,0.6006,3738
"Clarendon County, SC",SC,12356,0.4421,0.6809,3719
"Natchitoches Parish, LA",LA,14508,0.4096,0.6254,3716
"Gladwin County, MI",MI,11280,0.4636,0.7106,3716
"Del Norte County, CA",CA,9522,0.5437,0.7172,3713
"Monroe County, MS",MS,13895,0.4431,0.6006,3698
"Fannin County, GA",GA,11890,0.4853,0.6402,3694
"San Jacinto County, TX",TX,10881,0.5303,0.6402,3694
"Mahaska County, IA",IA,8743,0.5794,0.7288,3692
"Washington County, MS",MS,17113,0.3589,0.6006,3689
